6	35
1	22
10	100
7	95
7	52
9	69
11	139
0	131
11	56
11	20
4	111
7	115
3	40
9	42
8	79
11	93
8	62
9	21
10	97
10	67
1	16
11	86
2	115
0	125
3	56
4	22
1	56
1	69
3	111
10	93
1	61
1	77
3	94
6	121
8	104
5	25
3	108
8	116
11	66
1	122
6	122
7	71
1	125
10	35
7	59
6	78
0	56
0	84
1	72
10	126
0	13
4	18
11	61
4	37
8	86
10	16
9	138
4	117
7	138
11	29
4	60
0	26
4	53
2	35
3	88
6	126
4	25
6	106
9	77
9	121
2	106
9	34
1	91
4	106
8	36
8	90
3	74
0	30
11	26
4	103
8	133
2	103
7	111
10	57
11	92
5	21
2	94
1	68
8	103
0	48
0	40
10	88
6	67
11	127
6	82
11	54
5	73
8	123
3	31
6	96
10	116
2	46
6	87
11	43
5	91
0	83
10	132
11	33
8	129
1	28
0	137
0	116
11	62
6	77
4	131
0	117
8	88
8	76
3	51
1	121
8	54
5	16
1	33
5	68
7	74
4	71
7	40
10	95
5	54
8	126
5	137
3	100
2	110
1	58
9	139
5	130
6	72
0	85
6	54
10	117
10	133
4	136
2	113
9	87
5	26
2	104
8	42
8	85
1	24
1	13
4	49
2	45
1	139
1	43
6	134
3	70
11	36
9	94
10	77
11	81
2	12
11	15
10	38
8	91
7	80
9	48
3	97
11	98
2	102
10	14
2	109
3	125
0	17
10	125
10	40
10	25
8	67
8	37
3	35
6	68
3	102
3	16
4	32
7	91
3	39
11	37
8	20
6	57
2	18
5	20
10	34
8	127
2	111
7	83
5	48
5	119
8	43
10	98
8	34
3	126
3	62
5	97
5	56
1	26
1	108
2	27
1	32
6	85
0	37
8	21
1	136
9	19
0	82
7	53
9	51
3	107
10	84
2	42
11	44
10	56
5	80
9	129
8	115
7	132
2	124
8	95
4	85
3	14
7	62
6	26
10	128
4	43
5	70
0	77
4	73
10	101
10	83
1	65
7	19
7	122
7	25
8	97
0	95
7	109
9	84
3	80
6	20
11	100
6	133
6	115
11	122
3	73
2	28
7	84
9	105
7	110
5	110
8	138
6	105
